Word	Prefix	Stem	Tone	POS	Class	Gloss	No	Note	Dialect
obunyakantu	obu	nyakantu	LLLLL	n.	14	selfishness	956		
obunyakare	obu	nyakare	LLLLL	i.	14	formerly	957		
obunyamukira	obu	nyamukira	LLLLHL	n.	14	dung-maggots	958		
obunyamunwa	obu	nyamunwa	LLLLL	n.	14	goat-pox	959		
obunyamurera	obu	nyamurera	LLLLHL	n.	14	fifes of the royal band	960		
obunyamurwa	obu	nyamurwa	LLLLL	n.	14	(heathen) priesthood	961		
obunyamutinda	obu	nyamutinda	LLLLLL	n.	14	scabies on a cow's back	962		(A)
obunyamwenyi	obu	nyamwenyi	LLLLL	n.	14	red-squirrels	963		(A)
obunyancooni	obu	nyancooni	LLLHLL	n.	14	undeveloped bananas	964		(A)
obunyangarara	obu	nyangarara	LLLLLL	n.	14	cracks	965		(A)
obunyankogote	obu	nyankogote	LLLLLL	n.	14	tortoises; turtles	966		
obunyarara	obu	nyarara	LLLLL	n.	14	stripes	967		
obunyaruguru	obu	nyaruguru	LLLLLL	n.	14	"position, prestige"	968		
obunyarutooke	obu	nyarutooke	LLLLLLL	n.	14	louries	969		
obunyemibwa	obu	nyemibwa	LLHLL	n.	14	good looks (of cows)	970		
obunyigita	obu	nyigita	LLLLL	n.	14	neck or waist of a gourd	971		
obunyigitiro	obu	nyigitiro	LLLLLL	n.	14	neck or waist of a gourd	972		
obunyindo	obu	nyindo	LLFL	n.	14	snouts	973		
obunyoga	obu	nyoga	LLHL	n.	14	small bananas	974		
oburere	obu	rere	LLHL	n.	14	clay-smoothers made from gourds	975		
oburezi	obu	rezi	LLLL	n.	14	child-nursing	976		
oburi	obu	ri	LLL	v.	14	which/it/they is/are	977		
buri		buri	LL	i.	inv	every; buri iz—˜ba: every day; buri kintu: everything; bur	978		
buri	bu	ri	HL	a.	14	those over there; that over there	979		(N)
oburiga	obu	riga	LLLL	n.	14	dried banana or cassava flour	980		
oburiho	obu	riho	LLLL	v.	14	which/it/they is/are here	981		
buriijo			LLLL	i.		every day	982	< buri + ijo	
oburiiro	obu	riiro	LLHLL	n.	14	pasture; source of food	983		
oburiisa	obu	riisa	LLHLL	n.	14	"parish, pastorate"	984		
oburiisizo	obu	riisizo	LLHHLL	n.	14	pasture	985		
oburikubira	oburiku	bira	LLHLLL	a.	14	boiling	986		
oburikufuka	obu	rikufuka	LLHLLL	a.	14	cold	987		
oburikumiza	obu	rikumiza	LLHLLL	a.	14	deep	988		
oburikutagata	obu	rikutagata	LLHLLLL	a.	14	warm	989		
oburikutukura	obu	rikutukura	LLHLLLL	a.	14	red	990		
oburikwera	obu	rikwera	LLHLL	"a.., n."	14	white; holiness	991		
oburikwiragura	obu	rikwiragura	LLLHLLL	a.	14	black	992		
oburikwotsya	obu	rikwotsya	LLHLL	a.	14	hot	993		
oburimbi	obu	rimbi	LLLL	n.	14	red earth	994		
oburimi	obu	rimi	LLHL	n.	14	nibs; little tongues; small flames	995		
oburimiro	obu	rimiro	LLLLL	n.	14	soil clinging to the legs when digging	996		
oburimi	obu	rimi	LLLL	v.	14	which/it/they is/are in it	997		
oburindi	obu	rindi	LLFL	n.	14	kutŽra —bur”ndi: make a fire by rubbing sticks	998		
oburingiri	obu	ringiri	LLHLL	n.	14	blood pudding	999		
oburinzi	obu	rinzi	LLLL	n.	14	protection; guardianship; thrift	1000		
buriya	bu	riya	HLL	a.	14	those/that over there	1001		
oburiyo	obu	riyo	LLLL	v.	14	which/it/they is/are there	1002		
oburo	obu	ro	LHL	n.	14	small millet	1003		
oburofa	obu	rofa	LLHL	"n.., a.."	14	"filth, dirt; dirty"	1004		
oburogo	obu	rogo	LLLL	n.	14	witchcraft	1005		
oburondo	obu	rondo	LLFL	n.	14	kinds of mushroom	1006		
oburondogozi	obu	rondogozi	LLLLLL	n.	14	wandering talk of the aged	1007		
oburooro	obu	rooro	LLHHL	n.	14	chicken fleas	1008		
oburugo	obu	rugo	LLLL	n.	14	source	1009		
oburugu	obu	rugu	LLLL	n.	14	recesses	1010		
oburugwa-izooba	obu	rugwa-izooba	LLLLLHLL	n.	14	the east	1011		
oburuhe	obu	ruhe	LLHL	n.	14	fatigue	1012		
oburuhire	obu	ruhire	LHLLL	a.	14	tired	1013		
oburuhuukiro	obu	ruhuukiro	LLLLLLL	n.	14	resting-place	1014		
oburunga	obu	runga	LLLL	n.	14	seeds of the coral tree	1015		
burunga			LFL	i.		upright	1016		
oburungi	obu	rungi	LLHL	"n.., a.."	14	goodness; beauty; good; beautiful	1017		
burungi-bwa-nsi	bu	rungi-bwa-nsi	LLLHL	n.	14	communal work	1018		
bururu		bururu	LHL	n.		blue (esp. washing blue)	1019	< Engl.	
obururuma	obu	ruruma	LLLHL	n.	14	waterfall(s)	1020		
oburuuru	obu	ruuru	LLHHL	n.	14	lottery	1021		
oburwa	obu	rwa	LLL	n.	14	islets	1022		
oburwaire	obu	rwaire	LHLLL	a.	14	ill	1023		
oburya-babi	obu	rya-babi	LLLHL	n.	14	"midges, gnats"	1024		
obushuma	obu	shuma	LLHL	n.	14	theft; greed	1025		
obushumba	obu	shumba	LLLL	n.	14	parish	1026		
obushumi	obu	shumi	LLHL	n.	14	time	1027		(N)
obushunju	obu	shunju	LLLL	n.	14	tuft of hair	1028		
obushuubuzi	obu	shuubuzi	LLLLLL	n.	14	"commerce, trade"	1029		
obushuumo	obu	shuumo	LLLLL	n.	14	lapses; descents	1030		
obushuuru	obu	shuuru	LLHLL	n.	14	ground-rent	1031		
bushuuti			LLLL	n.		chief's robe	1032		
obushuzi	obu	shuzi	LLHL	n.	14	bugs	1033		(A)
obushwere	obu	shwere	LLFL	n.	14	marriage (of a woman)	1034		
obushwezi	obu	shwezi	LLFL	n.	14	marriage (of a man)	1035		
obusibo	obu	sibo	LLLL	n.	14	hair plaits	1036		(K)
obusibyo	obu	sibyo	LLHL	n.	14	traces	1037		(K)
obusigazi	obu	sigazi	LLHLL	n.	14	youth	1038		(K)
busigazi	bu	sigazi	LHLL	n.	14	youth (personified)	1039		(K)
obusigwa	obu	sigwa	LLHL	n.	14	trust; stewardship	1040		(K)
obusiisi	obu	siisi	LLLLL	n.	14	"sin(s), evil"	1041		
obusiisi	obu	siisi	LLHLL	n.	14	small ants	1042		(A)
obusiisibirizi	obu	siisibirizi	LLHHLLLL	n.	14	small ants	1043		
obusiisira	obu	siisira	LLLLLL	n.	14	hutments; shelters	1044		(A)
obusiisiro	obu	siisiro	LLLLLL	n.	14	hutments; shelters	1045		(K)
obusimba	obu	simba	LLLL	n.	14	height	1046		(K)
obusindagye	obu	sindagye	LLLHL	n.	14	plant used for perfume	1047		(K)
obusindura	obu	sindura	LLHLL	n.	14	blue beads	1048		(K)
obusingye	obu	singye	LLFL	n.	14	peace; freedom; (N) reign; times; generation; omu bus”ngye:	1049		
obusinzi	obu	sinzi	LLFL	n.	14	drunkenness	1050		
obusiri	obu	siri	LLLL	n.	14	hookworm; small plots	1051		
obusiriira	obu	siriira	LLLHHL	n.	14	hundred thousands	1052		
obusirimuko	obu	sirimuko	LLLLLL	n.	14	slopes	1053		
obusito	obu	sito	LLLL	n.	14	kœba n'—busito: be pregnant (used of a cow); am‡te g'—busito	1054		
obuso	obu	so	LHL	n.	14	forehead(s); edge(s) of a drum	1055		
obusooroora	obu	sooroora	LLLLHHL	n.	14	whirlwinds	1056		
obusoosi	obu	soosi	LLHLL	n.	14	saucers	1057		
obusumaari	obu	sumaari	LLLHLL	n.	14	pins	1058		
obusya	obu	sya	LLL	n.	14	pitfall trap(s)	1059		
obusya	obu	sya	LHL	"n.., a."	14	newness; new	1060		
obusyo	obu	syo	LHL	n.	14	herd; small knives	1061		
busyo	bu	syo	LL	a.	14	like that	1062		(K)
obuta	obu	ta	LHL	n.	14	bow (for arrows)	1063		
buta?	bu	ta	LL	a.	14	how (is it; are they)?	1064		
obutaahi	obu	taahi	LLLLL	n.	14	neighbourliness	1065		
obutaaho	obu	taaho	LLLLL	n.	14	dwelling-place	1066		
obutaajuure	obu	taajuure	LLHHLLL	n.	14	open spaces	1067		
obutaama	obu	taama	LLLLL	n.	14	small sheep	1068		
obutaano	obu	taano	LLLLL	a.	14	(the) five	1069		
obutaanyure	obu	taanyure	LLHHLL	n.	14	trachoma (an eye disease)	1070		
obutaara	obu	taara	LLLLL	n.	14	small lamps; car side-lamps	1071		
obutaasya-miyaga	obu	taasya-miyaga	LLLLLLLL	n.	14	ventilator(s)	1072		
obutabo	obu	tabo	LLLL	n.	14	booklets; leaflets; obutabo bw'Žmpapura: writing pads	1073		
obutagatsi	obu	tagatsi	LLLLL	n.	14	temperature	1074		
obutahe	obu	tahe	LLHL	n.	14	"amajuta g'—but‡he: perfumed, smoked butter"	1075		
obutahwaho	obu	tahwaho	LLHLL	a.	14	eternal	1076		
obutoonyezi	obu	toonyezi	LLHHLL	n.	14	full stops	1077		
obutoosha	obu	toosha	LLHLL	i.	14	always; usually	1078		
obutoroogo	obu	toroogo	LLLLLL	n.	14	premature children	1079		
obutorore	obu	torore	LLHLL	n.	14	food-offering for a soothsayer	1080		
obutsibo	obu	tsibo	LLLL	n.	14	hair-plaits	1081		(A)
obutsibyo	obu	tsibyo	LLHL	n.	14	traces	1082		(A)
obutsigazi	obu	tsigazi	LLHLL	n.	14	youth	1083		(A)
butsigazi	bu	tsigazi	LHLL	n.		youth (personified)	1084		(A)
obutsigwa	obu	tsigwa	LLHL	n.	14	trust; stewardship	1085		(A)
obutsimba	obu	tsimba	LLLL	n.	14	height	1086		(A)
obutsindagye	obu	tsindagye	LLLHL	n.	14	plant used for perfume	1087		(A)
obutsindura	obu	tsindura	LLHLL	n.	14	blue beads	1088		(A)
obutu	obu	tu	LLL	n.	14	"small paper packets, 'screws'"	1089		
obutumwa	obu	tumwa	LLHL	n.	14	message; ministry	1090		
obutunda	obu	tunda	LLHL	n.	14	grenadillas; passion fruit	1091		
obutunda-bwigutsi	obu	tunda-bwigutsi	LLLLHLL	n.	14	crickets	1092		
butundu			LHL	n.		large cricket	1093		(K)
obutungamo	obu	tungamo	LLHLL	n.	14	ascents	1094		
obutungi	obu	tungi	LLFL	n.	14	"riches; property, possessions"	1095		
obutunguru	obu	tunguru	LLHLL	n.	14	onions	1096		
obutungutungu	obu	tungutungu	LLLHLL	n.	14	rooftops	1097		
butunu			LLL	i.		openly	1098		
obuturugunyu	obu	turugunyu	LLLLLL	n.	14	glands; nodules	1099		
obuturuma	obu	turuma	LLLLL	n.	14	"kutŽra —buturuma: gurgle, bubble"	1100		
obutuura	obu	tuura	LLHHL	i.	14	all the time	1101		
obutuuro	obu	tuuro	LLHLL	n.	14	dwelling(s)	1102		
obutuutu	obu	tuutu	LLHLL	n.	14	flowers and seeds of a vegetable marrow	1103		
obutuzi	obu	tuzi	LLHL	n.	14	mushrooms	1104		
obutware	obu	tware	LLFL	n.	14	"rule, control"	1105		
obutwaro	obu	twaro	LLFL	n.	14	packets	1106		
obutwera	obu	twera	LLHL	n.	14	kuz‡ˆra —butwŽra: bear children too frequently	1107		
obutwire	obu	twire	LHLL	i.	14	every day	1108		
butyo	bu	tyo	LL	a.	14	like that	1109		
buuha?	buu	ha	LLL	a.	14	which ones?	1110		
obuvugi	obu	vugi	LLHL	n.	14	driving	1111		
obuvurugye	obu	vurugye	LLLHL	n.	14	white spots in the eyes	1112		
obuyaga	obu	yaga	LLLL	n.	14	kutŽra —buyaga: make jokes; jest; tease	1113		
obuyamba	obu	yamba	LLLL	n.	14	kinds of fish	1114		
obuyogoyogo	obu	yogoyogo	LLLHLL	n.	14	"tall, thin people"	1115		
Buyonaani	bu	yonaani	LLHLL	n.	14	(Ancient) Greece	1116		
obuyonjo	obu	yonjo	LLLL	"a.., n."	14	clean; cleanliness; hygiene	1117		(G)
obuzaahi	obu	zaahi	LLLLL	n.	14	emigration; exhaustion	1118		
obuzaana	obu	zaana	LLHLL	n.	14	servitude of women	1119		
obuzaare	obu	zaare	LLHLL	n.	14	family relationship	1120		
obuzaariranwa	obu	zaariranwa	LLLLLHL	n.	14	birth; nature by birth; nationality; eky'—buzaarir‡nwa: nati	1121		
obuzaarwa	obu	zaarwa	LLHHL	n.	14	parentage; birthplace; eky'—buzaarwa: natural	1122		
obuzibe	obu	zibe	LLHL	n.	14	sightless eyes; shut eyes	1123		
obuzibu	obu	zibu	LLLL	n.	14	difficulty	1124		(G)
obuzigu	obu	zigu	LLLL	n.	14	enmity	1125		
obwangye	obw	angye	LLL	a.	14	"my, mine"	1126		
obwanira-mpanga	obw	anira-mpanga	LLLLLL	n.	14	hawks	1127		
obwankinya	obw	ankinya	LLHL	n.	14	waist	1128		(A)
bwanyima	bwa	nyima	LLL	i.		afterwards	1129		
obwanyu	obw	anyu	LFL	a.	14	your(s)	1130		
obwara	obw	ara	LHL	n.	14	kœtaho —bw‡ra: raise an alarm	1131		
obwara	obw	ara	LFL	n.	14	claws	1132		
obwaro	obw	aro	LLL	n.	14	small villages	1133		
obwarwo	obw	arwo	LLL	a.	14	its	1134		
obwaryo	obw	aryo	LLL	a.	14	its	1135		
bwasheesha	bwa	sheesha	HLLL	i.		in three days' time	1136		
obwatampaama	obw	atampaama	LLLHLL	n.	14	mushrooms found in grassless places	1137		
obwatatara	obw	atatara	LLHLL	n.	14	enormous thing	1138		
obwato	obw	ato	LFL	n.	14	boat (used also for bananas)	1139		
bwatuherayo			HLLLL	v.		eventually we	1140		
obwatwo	obw	atwo	LLL	a.	14	"its , their(s)"	1141		
obwawe	obw	awe	LLL	a.	14	your(s)	1142		
obwaye	obw	aye	LLL	n.	14	'frog' in the throat	1143		(K)
obwayo	obw	ayo	LLL	a.	14	"its, their(s)"	1144		
obwazo	obw	azo	LLL	a.	14	their(s)	1145		
obwe	obw	e	LL	a.	14	his/her(s)	1146		
obwecooki	obw	ecooki	LHLLL	n.	14	tidyness	1147		
obwecumi	obw	ecumi	LHLL	n.	14	smartness; adornment	1148		
obwecurengi	obw	ecurengi	LHLLL	n.	14	hard work	1149		
obwecuriko	obw	ecuriko	LHLLL	n.	14	downhill slope	1150		
obwegamo	obw	egamo	LHLL	n.	14	shelter	1151		
obwegyesa	obw	egyesa	LHLL	n.	14	teaching	1152		
obwegyese	obw	egyese	LHLL	n.	14	education	1153		
obw'eishe-emwe	obw	'eishe-emwe	LHHLLL	n.	14	brotherhood	1154		
obwekiiko	obw	ekiiko	LHLLL	n.	14	"bend, curve; turn"	1155		
obwekinuuki	obw	ekinuuki	LHLLLL	n.	14	rudeness	1156		
obwekorerero	obw	ekorerero	LHLLLL	n.	14	crown(s) of the head	1157		
obwekoro	obw	ekoro	LHLL	n.	14	repayment of a debt	1158		(A)
obwekuumo	obw	ekuumo	LHLLL	n.	14	cud	1159		
*obwekwaitse	obw	ekwaitse	LHLLL	a.	14	"thick, dense [...(t)s...]"	1160		
obweme	obw	eme	LFL	n.	14	war	1161		(A)
obwemi	obw	emi	LFL	n.	14	height; uprightness; ey'—bwmi: vertical	1162		
bwemi			LL	a.		"direct, straight; ogutari gwa bwemi: hither and thither"	1163		
obwemi nka	obw	emi nka	LHLL	a.	14	looking like	1164		
obwenda	obw	enda	LFL	n.	14	small garments	1165		
obwengye	obw	engye	LFL	n.	14	knowledge; ability; wisdom; aine obwngye omu kuhandiika: he	1166		
obwenju	obw	enju	LHL	n.	14	small sweet bananas	1167		(A)
obwepiskoopi	obw	episkoopi	LLHLLL	n.	14	(RC) diocese	1168		
obwereere	obw	ereere	LLHLL	n.	14	infancy; infants	1169		
obweremwa	obw	eremwa	LLHL	n.	14	weakness; laziness	1170		
obwerere	obw	erere	LHLL	n.	14	open country; land as opposed to water	1171		
obweshengyeza	obw	eshengyeza	LHLLL	n.	14	leasehold land	1172		(A)
obweshereko	obw	eshereko	LHLLL	n.	14	hiding-place(s)	1173		
bwesherekye			LLHL	i.		in secret	1174		
obweshongoro	obw	eshongoro	LHLLL	n.	14	little songs	1175		
obwesigwa	obw	esigwa	LHLL	n.	14	reliability	1176		
obwoya	obw	oya	LHL	n.	14	hair on the body; small feathers	1177		
eby'	eby	'	L	a.	8	of; things of	1178		
ebya	eby	a	LL	a.	8	of; things of	1179		
bya			L	a.		bya bintu: those very things	1180		(K)
ebyabandize	eby	abandize	LLLHL	a.	8	previous	1181		
ebyabo	eby	abo	LFL	a.	8	their(s)	1182		
ebyabwo	eby	abwo	LLL	a.	8	"their(s), its"	1183		
ebyabyo	eby	abyo	LLL	a.	8	their(s)	1184		
ebyafayo	eby	afayo	LLLL	n.	8	history	1185		
ebyagaana	eby	agaana	LHLLL	n.	8	"pools, puddles"	1186		
ebyago	eby	ago	LLL	a.	8	"their(s), its"	1187		
ebyago	eby	ago	LFL	n.	8	ghosts	1188		
ebyagwo	eby	agwo	LLL	a.	8	its	1189		
ebyahi	eby	ahi	LLL	n.	8	skin mats	1190		
ebyaho	eby	aho	LLL	a.	8	the things there	1191		
ebya-ikumi	eby	a-ikumi	LHLHL	n.	8	ten-cent pieces	1192		
ebyaitu	eby	aitu	LHLL	a.	8	our(s)	1193		
*ebyakana	eby	akana	LLHL	n.	8	"quarters, fourths"	1194		
ebyako	eby	ako	LLL	a.	8	its	1195		
ebyakwo	eby	akwo	LLL	a.	8	its	1196		
ebyakyeeri	eby	akyeeri	LLLLL	n.	8	hair in the armpits	1197		
ebyakyo	eby	akyo	LLL	a.	8	its	1198		
eby'amagara	eby	'amagara	LHLLL	n.	8	hygiene	1199		
eby'amahano	eby	'amahano	LHLLL	n.	8	miracles	1200		
eby'amaka	eby	'amaka	LHLL	n.	8	housekeeping	1201		
ebyambara	eby	ambara	LLLL	n.	8	dogs' collars	1202		
ebyambu	eby	ambu	LLL	n.	8	swampy rivers	1203		
ebyamwo	eby	amwo	LLL	a.	8	the things inside	1204		
ebyana	eby	ana	LFL	n.	8	fruit; offspring; young bees in larva stage	1205		
ebyanga	eby	anga	LFL	n.	8	regions; sections; chiefs' areas	1206		(A)
ebyanganga	eby	anganga	LLHL	n.	8	carelessness; (A) thick wire anklets; (K) careless children	1207		
ebyangu	eby	angu	LHL	n.	8	sponges	1208		
ebyanguhi	eby	anguhi	LHLL	a.	8	easy; light	1209		
ebyangye	eby	angye	LLL	a.	8	"my, mine"	1210		
ebyanira	eby	anira	LLLL	n.	8	buzzards	1211		
ebyano	eby	ano	LLL	n.	8	spaces between the fingers or near the neck; ebyano by'Žkibœ	1212		
ebyanyabeene	eby	anyabeene	LLLLLL	n.	8	things of that kind	1213		
ebyanyu	eby	anyu	LFL	a.	8	your(s)	1214		
ebyanzi	eby	anzi	LHL	n.	8	milkpots	1215		
ebyapa	eby	apa	LFL	n.	8	notice-boards; eby‰pa bya mahiro: title-deeds	1216		
ebyara	eby	ara	LFL	n.	8	"tracks, footprints; fingernails, toenails"	1217		
ebyarani	eby	arani	LLLL	n.	8	sewing-machines	1218		
ebyari	eby	ari	LHL	n.	8	nests	1219		(K)
ebyarikiro	eby	arikiro	LLLLL	n.	8	chickens' nests	1220		
ebyaro	eby	aro	LLL	n.	8	villages	1221		(G)
ebyarwo	eby	arwo	LLL	a.	8	its	1222		
ebyaryo	eby	aryo	LLL	a.	8	its	1223		
ebyashuri	eby	ashuri	LLLL	n.	8	nests; (K) nests (except hens')	1224		(A)
ebyasiimirwe	eby	asiimirwe	LLHHLL	n.	8	"findings, recommendations"	1225		
eby'okuhindahinduka	eby	'okuhindahinduka	LHLLLLLL	n.	8	changes	1226		
eby'okuhonga	eby	'okuhonga	LHLLL	n.	8	offerings	1227		
eby'okujwara	eby	'okujwara	LHLFL	n.	8	clothes	1228		
eby'okukora	eby	'okukora	LHLHL	n.	8	work	1229		
eby'okukozesa	eby	'okukozesa	LHLHLL	n.	8	equipment	1230		
eby'okunywa	eby	'okunywa	LLHL	n.	8	something to drink	1231		
eby'okureeberaho	eby	'okureeberaho	LHLLLLHL	n.	8	examples	1232		
eby'okurwanisa	eby	'okurwanisa	LHLLLL	n.	8	weapons	1233		
ebyokurya	eby	okurya	LHHL	n.	8	food	1234		
eby'okutangaaza	eby	'okutangaaza	LHLLLLL	n.	8	"wonderful sights, things"	1235		
eby'okuzaanisa	eby	'okuzaanisa	LHLLLLL	n.	8	toys	1236		
eby 'okweshemeza	eby	'okweshemeza	LHHLLL	n.	8	selfishness	1237		
eby'okweshweka	eby	'okweshweka	LHHLL	n.	8	coverings	1238		
ebyoma	eby	oma	LFL	n.	8	iron things; printing; machines; apparatus	1239		
ebyombekirwe	eby	ombekirwe	LHLLL	n.	8	buildings	1240		
ebyombeko	eby	ombeko	LHLL	n.	8	buildings	1241		
byombi	by	ombi	FL	a.	8	both	1242		
ebyombo	eby	ombo	LLL	n.	8	steamers	1243		(A)
cee			HH	i.		"kucœreera kuti cŽŽ: keep very quiet, very still"	1244		
ecepe	e	cepe	LHL	n.	9/10?	badge(s); medal(s)	1245		
cooka			HLL	n.		chalk; whitewash	1246		
edaazini	e	daazini	LLLLL	n.	9/10?	dozen(s)	1247	< Engl.	
edakiika	e	dakiika	LLLLL	n.	9/10?	minute(s)	1248	< Sw.	
de!			H	i.		look!	1249		
edebe	e	debe	LHL	n.	9/10?	oil-tin(s)	1250		
deeba!			HHL	i.		look at that!	1251		
dereeva			LHLL	n.		driver	1252	< Engl.	
ediini	e	diini	LHLL	n.	9/10?	religion(s)	1253		
Diisi			HHL	n.		D.C.; District Commissioner	1254		
ebaine	eba	ine	LLLL	v.		which/it/they has/have them	1255		
ebi	ebi		LL	a.	8	these	1256		
ebiine	ebi	ine	LLLL	v.	8	which/it/they has/have them	1257		
ebiri	ebi	ri	LLL	a.	8	(the) two	1258		
ebi shi	ebi	shi	LLL	i.	8	certainly	1259		
ebwine	ebw	ine	LLL	v.		which/it/they has/have it/them	1260		
ebyo	eby	o	LL	i.	8	"so, then; ebyo! really!"	1261		
ecureire			LHLLL	a.		"calm, quiet"	1262		
ecuukire			LLLLL	n.		heifer just weaned and put with adults	1263		
eha?	e	ha	LL	a.		which one(s)? eha nsi? where?	1264		
ehereire			LHLLL	a.		nearby	1265		
ehikire			LHLL	a.		"right, correct"	1266		
ehumbatsi			HLLL	a.		collected round	1267		
ehuriire			LHLLL	a.		living	1268		
ehweire			LHLL	a.		past	1269		
ei	ei		LL	a.	5	"which, where (objective)"	1270		
eijwire	e	ijwire	HHLL	a.	9	full	1271		
eine	ei	ne	LLL	v.	5	which/it/they has/have	1272		
eishi!	ei	shi!	LLL	i.	5	my goodness!	1273		
ekabire			LHLL	a.		"exhausted, dead"	1274		
ekaine	eka	ine	LLLL	v.		which/it/they has/have it	1275		
eki	eki		LL	a.	7	this (thing)	1276		
eki	eki		LL	i.	7	therefore	1277		
ekiine	eki	ine	LLLL	v.	7	which/it/they still has/have; which/it/they has/have it	1278		
ekiri	eki	ri	LLL	v.	7	which/it/they still is/are; while it/they still is/are	1279		
ekiti	eki	ti	LLL	i.	7	real; oneself; omwana wa ishe Žkiti: a true son	1280		(A)
ekitsiganyima	eki	tsiganyima	LLLHLL	i.	7	backwards	1281		
ekurize			LLLL	a.		in calf (of a cow)	1282		(K)
ekuzire	e	kuzire	LHLL	a.	9?	"old, full-grown"	1283		
ekwine	ekw	ine	LLL	v.		which/it/they has/have it	1284		
ekyamuheru	eky	amuheru	LHLLL	i.	7	finally	1285		
ekyarugiremu	eky	arugiremu	LLLLLL	i.	7	eventually	1286		
ekyazaarukiremu	eky	azaarukiremu	LLLLLLLL	i.	7	as a result	1287		
eky'obusaasi	eky	'obusaasi	LHLLLL	i.	7	unfortunately	1288		
eky'omugisha	eky	'omugisha	LHLLL	i.	7	fortunately	1289		
emwe	e	mwe	HL	a.	9?	one; some	1290	"(e.g., trees)"	
emweija	em	weija	LHLL	a.	10	the other (of two)	1291		
emwine	em	wine	LLL	v.	10	which/it/they has/have him/her	1292		
ena	e	na	HL	a.	9?	four	1293		
*engahe?	e	ngahe	LHL	a.		how many?	1294		(K)
*engahi?	e	ngahi	LHL	a.		how many?	1295		
entsyairiho	en	tsyairiho	LHHHL	i.	10	in three days' time	1296		(A)
	e	nu		a.	10-Sep	"this, these"	1297		(N)
enyambuka-mayanja	en	yambuka-mayanja	LLLLLLL	i.	10	overseas	1298		
enyima	en	yima	LLL	i.	10	"afterwards; back, at the back; enyima ya: after, behind; ob"	1299		
erahe?	e	rahe	LLL	a.	10-Sep	where is it? where are they?	1300		(K)
erahi?	e	rahi	LLL	a.	10-Sep	where is it? where are they?	1301		
*erasire	e	rasire	LLHL	n.	9?	wounded buffalo; kut’“na nk'Žras’re: be overcome with fear	1302		
efaana	e	faana	LHHL	n.	10-Sep	tapeworm(s)	1303		
efeeza	e	feeza	LHHL	n.	9?	silver	1304	< Sw.	
fiizi		fiizi	HLL	n.	9? 10?	fees	1305	< Engl.	
efirembe	e	firembe	LLLL	n.	10-Sep	whistle(s)	1306		(K)
efirimbi	e	firimbi	LLLL	n.	10-Sep	whistle(s)	1307		(A)
efumbiri	e	fumbiri	LLLL	n.	9/10?	duiker	1308		(K)
efumu	e	fumu	LHL	n.	10-Sep	proverb(s); saying(s); parable(s)	1309		
efunjo	e	funjo	LFL	n.	9? 10?	"papyrus when dry, for basket-making"	1310		
efunzi	e	funzi	LHL	n.	10-Sep	fire-finch(es); ear wax	1311		
efura	e	fura	LHL	n.	9?	gentleman; sociable person	1312		
efuraano	e	furaano	LLLLL	n.	10-Sep	flannel; pullover(s)	1313		
	ag	'		a.	6	of	1314		
	aga			a.	6	of	1315		
ga	ga		L	a.	6	ga mahuri: those very eggs	1316		(K)
agaabo	aga	abo	LHLL	a.	6	their(s)	1317		
agaabwo	aga	abwo	LLLL	a.	6	"their(s), its"	1318		
agaabyo	aga	abyo	LLLL	a.	6	their(s)	1319		
agaago	aga	ago	LLLL	a.	6	"their(s), its"	1320		
agaagwo	aga	agwo	LLLL	a.	6	its	1321		
gaaha?	gaa	ha	LLL	a.	6	which one(s)?	1322		
gaahe?	gaa	he	LLL	a.	6	which one(s)? ni gaahe? how are things?	1323		(K)
gaahi?	gaa	hi	LLL	a.	6	which one(s)?	1324		(A)
agaaho	aga	aho	LLLL	a.	6	of that place	1325		
gaaju			LLL	n.		brown; ekya gaaju: brown	1326		
agaako	aga	ako	LLLL	a.	6	its	1327		
agaakwo	aga	akwo	LLLL	a.	6	its	1328		
agaakyo	aga	akyo	LLLL	a.	6	its	1329		
agaamwo	aga	amwo	LLLL	a.	6	that/those in there	1330		
agaanyu	aga	anyu	LHLL	a.	6	your(s)	1331		
egaari	e	gaari	LHLL	n.	10-Sep	bicycle(s); Žg‡ˆri y'—mwika: train(s)	1332	< Sw.	
gaarubindi	gaa ru	bindi	LLLFL	n.	6	spectacles; binoculars	1333		
agaarwo	aga	arwo	LLLL	a.	6	its	1334		
agaaryo	aga	aryo	LLLL	a.	6	its	1335		
agaatwo	aga	atwo	LLLL	a.	6	"their(s), its"	1336		
agaawe	aga	awe	LLLL	a.	6	your(s)	1337		
agaayo	aga	ayo	LLLL	a.	6	"their(s), its"	1338		
agaazo	aga	azo	LLLL	a.	6	their(s)	1339		
egabo	e	gabo	LLL	n.	9?	"share; mouthful, some food"	1340		
agacureire	aga	cureire	LHLLLL	a.	6	"calm, quiet"	1341		
agafiire	aga	fiire	LHLLL	a.	6	dead; bad (of eggs)	1342		
*agagarami	aga	garami	LHLLL	a.	6	"open, spacious"	1343		
agahereire	aga	hereire	LHLLLL	a.	6	nearby	1344		
agahikire	aga	hikire	LHLLL	n.	6	right	1345		
agahuriire	aga	huriire	LHLLLL	a.	6	living	1346		
agahweire	aga	hweire	LHLLL	a.	6	past	1347		
agaijwire	aga	ijwire	LHHLL	a.	6	full	1348		
againe	aga	ine	LLLL	v.	6	which/it/they has/have	1349		
agaitu	aga	itu	LHLL	a.	6	our(s)	1350		
